date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:34:15	26/26	---M--	200	added ('OK')	text/plain	etag:%226034d7-1a-4796caab10780%22	http://schreibgewandt.ch/robots.txt		(from )
04:34:17	5632/5632	---MC-	200	added ('OK')	text/html	etag:36f107191b93d893c849921c54860bb5	http://schreibgewandt.ch/	/root/tests/schreibgewandt.ch/index.html	(from )
04:34:17	14979/14979	---M--	200	added ('OK')	text/css	etag:%22603bd7-3a83-47fcc7f431000%22	http://schreibgewandt.ch/cms/css/home.css	/root/tests/schreibgewandt.ch/cms/css/home.css	(from )
04:34:19	318/318	---M--	200	added ('OK')	image/x-icon	etag:%226034ca-13e-47d7578500b80%22	http://schreibgewandt.ch/cms/favicon.ico	/root/tests/schreibgewandt.ch/cms/favicon.ico	(from )
04:34:19	2405/2405	---M--	200	added ('OK')	image/png	etag:%22603b14-965-47b405d2a0180%22	http://schreibgewandt.ch/cms/images/schreibgewandtlogo.png	/root/tests/schreibgewandt.ch/cms/images/schreibgewandtlogo.png	(from )
04:34:20	166/166	---M--	200	added ('OK')	image/png	etag:%22603bbb-a6-47eb3cf6b3cc0%22	http://schreibgewandt.ch/cms/images/list-style-trans.png	/root/tests/schreibgewandt.ch/cms/images/list-style-trans.png	(from http://schreibgewandt.ch/)
04:34:21	48/48	---M--	200	added ('OK')	image/gif	etag:%22603af0-30-47d0c9911c200%22	http://schreibgewandt.ch/cms/images/link_pfeil_klein.gif	/root/tests/schreibgewandt.ch/cms/images/link_pfeil_klein.gif	(from http://schreibgewandt.ch/)
04:34:21	5632/5632	---MC-	200	added ('OK')	text/html	etag:431b3237e812b0810c27a4150584e2f8	http://schreibgewandt.ch/home/	/root/tests/schreibgewandt.ch/home/index.html	(from http://schreibgewandt.ch/)
04:34:21	31579/31579	---M--	200	added ('OK')	image/png	etag:%22603b5f-7b5b-47d3068808d00%22	http://schreibgewandt.ch/cms/images/background_m1_home.png	/root/tests/schreibgewandt.ch/cms/images/background_m1_home.png	(from )
04:34:21	51/51	---M--	200	added ('OK')	image/gif	etag:%22603aee-33-47d0c99210440%22	http://schreibgewandt.ch/cms/images/link_pfeil.gif	/root/tests/schreibgewandt.ch/cms/images/link_pfeil.gif	(from http://schreibgewandt.ch/)
04:34:21	5725/5725	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2019%20Jun%202012%2002:34:20%20GMT	http://schreibgewandt.ch/image/99999/99999/0/bilder/unterschrift_eva.png	/root/tests/schreibgewandt.ch/image/99999/99999/0/bilder/unterschrift_eva.jpg	(from )
04:34:21	6309/6309	---MC-	200	added ('OK')	text/html	etag:72c367ed6045c1fa00ec4caf11f8c9d8	http://schreibgewandt.ch/schreibservice/	/root/tests/schreibgewandt.ch/schreibservice/index.html	(from http://schreibgewandt.ch/)
04:34:22	1235/1235	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Jun%202012%2002:34:22%20GMT	http://schreibgewandt.ch/cms/images/navi_pfeil_rechts.gif	/root/tests/schreibgewandt.ch/cms/images/navi_pfeil_rechts.8.delayed	(from http://schreibgewandt.ch/)
04:34:23	6028/6028	---MC-	200	added ('OK')	text/html	etag:fe7ebde0d04710f1a410829bc4c09cc7	http://schreibgewandt.ch/firmenauftritt/	/root/tests/schreibgewandt.ch/firmenauftritt/index.html	(from http://schreibgewandt.ch/)
04:34:23	5818/5818	---MC-	200	added ('OK')	text/html	etag:d4c6130f63d2e12dd7c9ec35104e0729	http://schreibgewandt.ch/kurse/	/root/tests/schreibgewandt.ch/kurse/index.html	(from http://schreibgewandt.ch/)
04:34:23	6652/6652	---MC-	200	added ('OK')	text/html	etag:57511f321a0b8d5cf2147848b891a8b3	http://schreibgewandt.ch/biografien/	/root/tests/schreibgewandt.ch/biografien/index.html	(from http://schreibgewandt.ch/)
04:34:23	15104/15104	---M--	200	added ('OK')	text/css	etag:%22603be8-3b00-47eb3c4fcf300%22	http://schreibgewandt.ch/cms/css/schreibservice.css	/root/tests/schreibgewandt.ch/cms/css/schreibservice.css	(from http://schreibgewandt.ch/)
04:34:25	5465/5465	---MC-	200	added ('OK')	text/html	etag:ad6195e452130c8ef0bfa638b4658116	http://schreibgewandt.ch/eva-kuhn/	/root/tests/schreibgewandt.ch/eva-kuhn/index.html	(from http://schreibgewandt.ch/)
04:34:25	7111/7111	---MC-	200	added ('OK')	text/html	etag:7766cac816e4d5a3a15d3d8c1696f68f	http://schreibgewandt.ch/kontaktaufnahme/	/root/tests/schreibgewandt.ch/kontaktaufnahme/index.html	(from http://schreibgewandt.ch/)
04:34:25	6484/6484	---MC-	200	added ('OK')	text/html	etag:65b63c04985a84a4dc79f2d1bb1ef6c3	http://schreibgewandt.ch/schreibservice/leseproben/	/root/tests/schreibgewandt.ch/schreibservice/leseproben/index.html	(from http://schreibgewandt.ch/schreibservice/)
04:34:25	14255/14255	---M--	200	added ('OK')	text/css	etag:%22603bd4-37af-47d0c9911c200%22	http://schreibgewandt.ch/cms/css/contenido.css	/root/tests/schreibgewandt.ch/cms/css/contenido.css	(from http://schreibgewandt.ch/)
04:34:26	6334/6334	---MC-	200	added ('OK')	text/html	etag:af9a23922101889d65c057abda647e7c	http://schreibgewandt.ch/schreibservice/feedbacks/	/root/tests/schreibgewandt.ch/schreibservice/feedbacks/index.html	(from http://schreibgewandt.ch/schreibservice/)
04:34:27	597/597	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2019%20Jun%202012%2002:34:27%20GMT	http://schreibgewandt.ch/image/15/15/0/bilder/pdf.gif	/root/tests/schreibgewandt.ch/image/15/15/0/bilder/pdf.jpg	(from http://schreibgewandt.ch/)
04:34:27	25557/25557	---M--	200	added ('OK')	image/png	etag:%22603b67-63d5-47eb340c8f480%22	http://schreibgewandt.ch/cms/images/background_m2_schreibs.png	/root/tests/schreibgewandt.ch/cms/images/background_m2_schreibs.png	(from http://schreibgewandt.ch/)
04:34:29	6538/6538	---MC-	200	added ('OK')	text/html	etag:dcb6ed171a1fab97a9b836d12947d2be	http://schreibgewandt.ch/biografien/leseproben/	/root/tests/schreibgewandt.ch/biografien/leseproben/index.html	(from http://schreibgewandt.ch/biografien/)
04:34:30	21680/21680	---M--	200	added ('OK')	image/png	etag:%22603b79-54b0-47d755fd0aec0%22	http://schreibgewandt.ch/cms/images/background_m4_firmen.png	/root/tests/schreibgewandt.ch/cms/images/background_m4_firmen.png	(from http://schreibgewandt.ch/)
04:34:30	6306/6306	---MC-	200	added ('OK')	text/html	etag:f935079c68f4a238eb08b3fd3adce0a0	http://schreibgewandt.ch/biografien/feedbacks/	/root/tests/schreibgewandt.ch/biografien/feedbacks/index.html	(from http://schreibgewandt.ch/biografien/)
04:34:33	15117/15117	---M--	200	added ('OK')	image/png	etag:%22603b4f-3b0d-47d755fdff100%22	http://schreibgewandt.ch/cms/images/background_m5_kurse.png	/root/tests/schreibgewandt.ch/cms/images/background_m5_kurse.png	(from http://schreibgewandt.ch/)
04:34:34	55836/55836	---M--	200	added ('OK')	application/pdf	etag:%2260398e-da1c-47d0b87e6ba40%22	http://schreibgewandt.ch/cms/upload/daten/schreibgewandt_tipps.pdf	/root/tests/schreibgewandt.ch/cms/upload/daten/schreibgewandt_tipps.pdf	(from http://schreibgewandt.ch/)
04:34:34	59245/59245	---M--	200	added ('OK')	image/png	etag:%22603b6f-e76d-47d755fd0aec0%22	http://schreibgewandt.ch/cms/images/background_m3_biografien.png	/root/tests/schreibgewandt.ch/cms/images/background_m3_biografien.png	(from http://schreibgewandt.ch/)
04:34:36	19554/19554	---M--	200	added ('OK')	image/png	etag:%22603b57-4c62-47d755fb22a40%22	http://schreibgewandt.ch/cms/images/background_m7_kontakt.png	/root/tests/schreibgewandt.ch/cms/images/background_m7_kontakt.png	(from http://schreibgewandt.ch/)
04:34:37	37628/37628	---M--	200	added ('OK')	image/png	etag:%22603bae-92fc-47d83e8dfa000%22	http://schreibgewandt.ch/cms/images/background_m6_eva_kuhn.png	/root/tests/schreibgewandt.ch/cms/images/background_m6_eva_kuhn.png	(from http://schreibgewandt.ch/)
04:34:44	59663/59663	---M--	200	added ('OK')	application/pdf	etag:%226039a2-e90f-47d0b88053ec0%22	http://schreibgewandt.ch/cms/upload/daten/schreibservice_feedb.pdf	/root/tests/schreibgewandt.ch/cms/upload/daten/schreibservice_feedb.pdf	(from http://schreibgewandt.ch/schreibservice/)
04:34:47	60442/60442	---M--	200	added ('OK')	application/pdf	etag:%22603981-ec1a-47d306983f340%22	http://schreibgewandt.ch/cms/upload/daten/biografie_feedb.pdf	/root/tests/schreibgewandt.ch/cms/upload/daten/biografie_feedb.pdf	(from http://schreibgewandt.ch/biografien/)
04:34:47	87697/87697	---M--	200	added ('OK')	application/pdf	etag:%2260399c-15691-47d0b87f5fc80%22	http://schreibgewandt.ch/cms/upload/daten/schreibservice_bsp.pdf	/root/tests/schreibgewandt.ch/cms/upload/daten/schreibservice_bsp.pdf	(from http://schreibgewandt.ch/schreibservice/)
04:34:49	104393/104393	---M--	200	added ('OK')	application/pdf	etag:%22603969-197c9-47d0b87c835c0%22	http://schreibgewandt.ch/cms/upload/daten/biografie_bsp.pdf	/root/tests/schreibgewandt.ch/cms/upload/daten/biografie_bsp.pdf	(from http://schreibgewandt.ch/biografien/)
