date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:28	26/26	---M--	200	added ('OK')	text/plain	etag:%226034d7-1a-4796caab10780%22	http://schreibgewandt.ch/robots.txt		(from )
19:18:29	5632/5632	---MC-	200	added ('OK')	text/html	etag:e8c02e4a0394e38e52646d72437d666c	http://schreibgewandt.ch/	/root/tests/schreibgewandt/schreibgewandt.ch/index.html	(from )
19:18:29	14979/14979	---M--	200	added ('OK')	text/css	etag:%22603bd7-3a83-47fcc7f431000%22	http://schreibgewandt.ch/cms/css/home.css	/root/tests/schreibgewandt/schreibgewandt.ch/cms/css/home.css	(from )
19:18:29	318/318	---M--	200	added ('OK')	image/x-icon	etag:%226034ca-13e-47d7578500b80%22	http://schreibgewandt.ch/cms/favicon.ico	/root/tests/schreibgewandt/schreibgewandt.ch/cms/favicon.ico	(from )
19:18:30	2405/2405	---M--	200	added ('OK')	image/png	etag:%22603b14-965-47b405d2a0180%22	http://schreibgewandt.ch/cms/images/schreibgewandtlogo.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/schreibgewandtlogo.png	(from )
19:18:30	166/166	---M--	200	added ('OK')	image/png	etag:%22603bbb-a6-47eb3cf6b3cc0%22	http://schreibgewandt.ch/cms/images/list-style-trans.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/list-style-trans.png	(from http://schreibgewandt.ch/)
19:18:31	5725/5725	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2018%20Jun%202012%2017:18:34%20GMT	http://schreibgewandt.ch/image/99999/99999/0/bilder/unterschrift_eva.png	/root/tests/schreibgewandt/schreibgewandt.ch/image/99999/99999/0/bilder/unterschrift_eva.jpg	(from )
19:18:31	48/48	---M--	200	added ('OK')	image/gif	etag:%22603af0-30-47d0c9911c200%22	http://schreibgewandt.ch/cms/images/link_pfeil_klein.gif	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/link_pfeil_klein.gif	(from http://schreibgewandt.ch/)
19:18:31	51/51	---M--	200	added ('OK')	image/gif	etag:%22603aee-33-47d0c99210440%22	http://schreibgewandt.ch/cms/images/link_pfeil.gif	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/link_pfeil.gif	(from http://schreibgewandt.ch/)
19:18:31	31579/31579	---M--	200	added ('OK')	image/png	etag:%22603b5f-7b5b-47d3068808d00%22	http://schreibgewandt.ch/cms/images/background_m1_home.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/background_m1_home.png	(from )
19:18:32	1235/1235	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Jun%202012%2017:18:35%20GMT	http://schreibgewandt.ch/cms/images/navi_pfeil_rechts.gif	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/navi_pfeil_rechts.8.delayed	(from http://schreibgewandt.ch/)
19:18:36	5632/5632	---MC-	200	added ('OK')	text/html	etag:84c54f5ff0a97b6a6face7e9d0175aa5	http://schreibgewandt.ch/home/	/root/tests/schreibgewandt/schreibgewandt.ch/home/index.html	(from http://schreibgewandt.ch/)
